raw_speed,raw_stat_dist,raw_rem_time,raw_hold_time,raw_pre_act,raw_stat_dist_2,raw_fw_dist,raw_cbtc_signal,norm_speed,norm_stat_dist_wide,norm_stat_dist_zoom,norm_rem_time,norm_hold_time,norm_pre_act_c,norm_pre_act_a,norm_pre_act_d,norm_fw_dist,norm_cbtc_signal,norm_speed_limit,norm_req_stop_dist,norm_margin_stop_dist,phase_accel,phase_cruise,phase_limit,phase_decel,phase_stop,norm_fw_speed,Q_coast,Q_accel,Q_decel,step_reward,llm_reward
0.0,2.178000000000001,180.0,30,2,2.178000000000001,2.178000000000001,70.0,0.0,1.339,1.0,0.5,1.0,0.0,0.0,1.0,1.339,0.875,0.875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.43179,417.47937,-1.1017021,0.9,0.9
3.1655461647722727,2.177552031426483,179.0,1.0,1,2.177552031426483,2.177552031426483,70.0,0.039569326,1.338776,1.0,0.49722221,0.033333335,0.0,1.0,0.0,1.338776,0.875,0.875,0.00045040614,1.0,1.0,0.0,0.0,0.0,0.0,1.0,411.76773,416.03473,406.0409,0.9,0.9
6.166266910487602,2.1762480601784304,178.0,2.0,1,2.1762480601784304,2.1762480601784304,70.0,0.077078335,1.338124,1.0,0.49444443,0.06666667,0.0,1.0,0.0,1.338124,0.875,0.875,0.0017160624,1.0,1.0,0.0,0.0,0.0,0.0,1.0,414.3394,418.3419,409.23444,0.9,0.9
9.01037060950777,2.174132710937684,177.0,3.0,1,2.174132710937684,2.174132710937684,70.0,0.11262963,1.3370664,1.0,0.49166667,0.1,0.0,1.0,0.0,1.3370664,0.875,0.875,0.0036675425,1.0,1.0,0.0,0.0,0.0,0.0,1.0,416.21298,420.39093,411.67065,0.9,0.9
11.705695795979539,2.171248380451793,176.0,4.0,1,2.171248380451793,2.171248380451793,70.0,0.14632119,1.3356242,1.0,0.4888889,0.13333334,0.0,1.0,0.0,1.3356242,0.875,0.875,0.0061906497,1.0,1.0,0.0,0.0,0.0,0.0,1.0,417.60114,421.8285,413.69415,0.8,0.8
14.259723701053257,2.1676353385103333,175.0,5.0,1,2.1676353385103333,2.1676353385103333,70.0,0.17824654,1.3338177,1.0,0.4861111,0.16666667,0.0,1.0,0.0,1.3338177,0.875,0.875,0.009184904,1.0,1.0,0.0,0.0,0.0,0.0,1.0,418.98712,423.20828,415.4119,0.8,0.8
16.679590829763864,2.1633318254315874,174.0,6.0,1,2.1633318254315874,2.1633318254315874,70.0,0.20849489,1.3316659,1.0,0.48333332,0.2,0.0,1.0,0.0,1.3316659,0.875,0.875,0.0125621045,1.0,1.0,0.0,0.0,0.0,0.0,1.0,419.93295,424.1836,416.65326,0.8,0.8
18.972101512263023,2.158374146057838,173.0,7.0,1,2.158374146057838,2.158374146057838,70.0,0.23715127,1.329187,1.0,0.48055556,0.23333333,0.0,1.0,0.0,1.329187,0.875,0.875,0.016245082,1.0,1.0,0.0,0.0,0.0,0.0,1.0,420.98087,425.22018,418.04007,0.8,0.8
21.143740370988105,2.1527967602747964,172.0,8.0,1,2.1527967602747964,2.1527967602747964,70.0,0.26429674,1.3263984,1.0,0.47777778,0.26666668,0.0,1.0,0.0,1.3263984,0.875,0.875,0.020166505,1.0,1.0,0.0,0.0,0.0,0.0,1.0,422.01965,426.21436,419.3595,0.8,0.8
23.200684653441794,2.1466323700855483,171.0,9.0,1,2.1466323700855483,2.1466323700855483,70.0,0.29000854,1.3233162,1.0,0.475,0.3,0.0,1.0,0.0,1.3233162,0.875,0.875,0.024267826,1.0,1.0,0.0,0.0,0.0,0.0,1.0,423.1811,427.33188,420.74872,0.8,0.8
