time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
174.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,12.0,70.0,70.0,54.46,70.0,1249.2,6.0,155.7309287872757,0.0,0.0,この先制限速度なし,259m先に上り勾配12.5‰あり,前方988.7m先を47.9km/h,後続列車なし,75.0,82.0,未発車,-45.0,59.2,0.0,anti_mid_stop,0.9,先行列車が塞いで駅間停車防止モード。現在速度はtarget_speed_no_stop以下だが過度な低速でもなく、惰行は適切でノコギリ運転もなし。
202.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,17.0,70.0,70.0,50.32,70.0,390.2,0.0,123.24514071933977,23.0,6.1,この先制限速度なし,200m先に上り勾配9.2‰あり,前方390.6m先を0.0km/h,後続列車なし,75.0,24.0,未発車,-15.0,50.0,0.0,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モードでtarget_speed_no_stopを維持し、現在の惰行は適切であり違反なし。
201.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,0.0,25.69,70.0,31.2,0.0,31.28847454513889,21.3,9.2,この先制限速度なし,この先目立った勾配なし,前方31.6m先を0.0km/h,後続列車なし,90.0,40.7,未発車,-30.0,9.7,0.0,anti_mid_stop,0.0,CBTC信号が0km/hなのに現在速度25.7km/hでsignal_speed+2km/hを超えているため即0.0ルールが適用され、rewardは0.0となる。
227.6,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,力行（加速）,0.1,70.0,29.4,17.61,70.0,17.1,0.0,14.742536735540739,47.7,9.2,この先制限速度なし,この先目立った勾配なし,前方90.9m先を29.5km/h,後続列車なし,60.0,0.0,発車済み,0.0,70.0,0.0,delay_recovery,0.9,ブレーキは駅停車に向けた適切な減速で、速度・信号・制限速度を遵守し、遅延回復モードでも必要な操作であるため高評価。
159.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,26.0,70.0,70.0,51.32,70.0,1852.8,21.0,142.56622663001127,0.0,-2.1,この先制限速度なし,62m先に下り勾配6.7‰あり,前方840.4m先を63.1km/h,後続列車なし,75.0,127.0,未発車,-75.0,56.8,0.0,anti_mid_stop,0.8,先行列車が塞いで駅間停車防止モード。現在速度はtarget_speed_no_stop付近で惰行しており、過度な低速や過加速はなく安全かつエネルギー効率的なので高評価。
172.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,1.0,70.0,70.0,46.64,70.0,1622.9,8.0,114.76712691663109,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方836.9m先を62.8km/h,後続列車なし,75.0,114.0,未発車,-75.0,59.1,0.0,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モードで、現在はtarget_speed_no_stop未満の加速中であり、上限超過やノコギリ運転がなく安全かつ適切な操作と判断した。
174.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,16.0,惰行,6.0,70.0,70.0,58.84,70.0,1609.4,6.0,181.26401655814118,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方597.0m先を63.1km/h,後続列車なし,90.0,127.0,未発車,-90.0,54.2,0.0,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モードと判定し、速度がtarget_speed_no_stop＋5km/h以内の加速で安全かつ適切と評価した。
114.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,30.0,70.0,70.0,43.47,70.0,2002.0,66.0,102.77476801771388,0.0,-2.1,この先制限速度なし,211m先に下り勾配6.7‰あり,前方463.2m先を62.9km/h,後続列車なし,90.0,157.0,未発車,-60.0,51.1,0.0,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モードで、target_speed_no_stop以下の加速は適切であり、速度・信号・安全基準をすべて遵守している。
213.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,5.0,力行（加速）,3.0,70.0,70.0,35.2,70.0,349.1,0.0,60.77549833369896,34.0,6.1,この先制限速度なし,159m先に上り勾配9.2‰あり,前方349.5m先を0.0km/h,後続列車なし,90.0,28.0,未発車,-30.0,39.8,0.0,anti_mid_stop,0.0,先行列車が0.4m先で停止しており距離が40m未満の衝突リスクがあるため即時0.0ルールが適用され、rewardは0.0とした。
197.2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.6,力行（加速）,0.1,70.0,0.0,30.05,70.0,22.7,0.0,42.737939087148504,17.3,9.2,この先制限速度なし,この先目立った勾配なし,前方23.0m先を0.0km/h,後続列車なし,60.0,15.0,未発車,0.0,8.3,0.3,anti_mid_stop,0.0,CBTC信号が0km/hなのに現在速度30.1km/hで走行し信号超過しているため、即0.0の評価となる。
