time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,25.0,3.3,1.0,33.33166419349847,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,25.0,0,normal,0.0,delta_stopが-30.03mでブレーキせず惰行のまま進行し、オーバーランが確実なため即時0点とした。
1,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,70.0,3.3,0.0,33.33166419349847,20.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,delta_stopが-30.03mでブレーキ未実施、オーバーランが確実なため即時0点ルールが適用され、rewardは0.0とした。
2,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.0,力行（加速）,12.0,70.0,70.0,25.0,25.0,3.3,1.0,33.33166419349847,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,25.0,0,normal,0.0,delta_stopが-30.03mでブレーキ未実施のためオーバーランが確実、即時0点ルール適用。
3,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.0,力行（加速）,12.0,70.0,70.0,25.0,70.0,3.3,0.0,33.33166419349847,20.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,delta_stop が -30.03 m と大きく負でブレーキ未実施のためオーバーランが確実で、安全上即0点と判断した。
4,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,25.0,18.3,5.3,33.33166419349847,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,25.0,0,normal,0.0,delta_stopが-15.03mでブレーキ未実施のためオーバーランが確実と判断し、安全上の重大違反として即時0点とした。
5,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,70.0,18.3,0.0,33.33166419349847,20.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,delta_stopが-15.03mでオーバーランが確実、減速フェーズでブレーキ未実施のため即時0点とした。
6,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.0,力行（加速）,12.0,70.0,70.0,25.0,25.0,18.3,5.3,33.33166419349847,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,25.0,0,normal,0.0,delta_stopが-15.03mでブレーキ未実施のためオーバーランが確実と判断し、安全違反として即時0.0評価とした。
7,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.0,力行（加速）,12.0,70.0,70.0,25.0,70.0,18.3,0.0,33.33166419349847,20.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,delta_stopが-15.03mでブレーキ未実施のためオーバーランが確実で安全違反と判断し、即0.0とした。
8,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,25.0,28.3,8.2,33.33166419349847,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,25.0,0,normal,0.0,δ_stop が -5.03m でオーバーランがほぼ確実と判断され、即時0点ルールが適用されたため reward 0.0 とした。
9,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,5.0,力行（加速）,12.0,70.0,70.0,25.0,70.0,28.3,0.0,33.33166419349847,20.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキをかけずにdelta_stopが-5.03mとオーバーランが確実であり、安全違反の即時0.0ルールが適用されたため、rewardは0.0とした。
