position,v_std,t_std
21.112000,0.0000,0.000
21.113000,4.4359,1.423
21.114000,6.4998,2.117
21.115000,7.8443,2.590
21.116000,9.1344,3.046
21.117000,10.0689,3.393
21.118000,11.0033,3.739
21.119000,11.8813,4.069
21.120000,12.5882,4.346
21.121000,13.2951,4.622
21.122000,14.0019,4.899
21.123000,14.6170,5.148
21.124000,15.1793,5.380
21.125000,15.7416,5.612
21.126000,16.3039,5.845
21.127000,16.8330,6.067
21.128000,17.2954,6.269
21.129000,17.7579,6.470
21.130000,18.2203,6.672
21.131000,18.6827,6.874
21.132000,19.1178,7.067
21.133000,19.5071,7.246
21.134000,19.8965,7.426
21.135000,20.2859,7.605
21.136000,20.6752,7.784
21.137000,21.0646,7.964
21.138000,21.4096,8.129
21.139000,21.7433,8.291
21.140000,22.0770,8.454
21.141000,22.4106,8.616
21.142000,22.7443,8.778
21.143000,23.0780,8.940
21.144000,23.3840,9.094
21.145000,23.6739,9.243
21.146000,23.9638,9.392
21.147000,24.2537,9.541
21.148000,24.5435,9.689
21.149000,24.8334,9.838
21.150000,25.1233,9.987
21.151000,25.3810,10.126
21.152000,25.6356,10.264
21.153000,25.8902,10.402
21.154000,26.1447,10.540
21.155000,26.3993,10.678
21.156000,26.6539,10.816
21.157000,26.9085,10.954
21.158000,27.1437,11.086
21.159000,27.3693,11.215
21.160000,27.5949,11.344
21.161000,27.8204,11.473
21.162000,28.0460,11.602
21.163000,28.2715,11.731
21.164000,28.4971,11.861
21.165000,28.7226,11.990
21.166000,28.9259,12.112
21.167000,29.1272,12.234
21.168000,29.3285,12.355
21.169000,29.5298,12.477
21.170000,29.7311,12.599
21.171000,29.9324,12.720
21.172000,30.1337,12.842
21.173000,30.3350,12.964
21.174000,30.5218,13.081
21.175000,30.7026,13.196
21.176000,30.8834,13.312
21.177000,31.0641,13.427
21.178000,31.2449,13.543
21.179000,31.4256,13.658
21.180000,31.6064,13.773
21.181000,31.7871,13.889
21.182000,31.9670,14.004
21.183000,32.1243,14.114
21.184000,32.2816,14.224
21.185000,32.4389,14.334
21.186000,32.5962,14.445
21.187000,32.7535,14.555
21.188000,32.9109,14.665
21.189000,33.0682,14.775
21.190000,33.2255,14.885
21.191000,33.3828,14.995
21.192000,33.5262,15.101
21.193000,33.6690,15.207
21.194000,33.8118,15.312
21.195000,33.9546,15.418
21.196000,34.0973,15.524
21.197000,34.2401,15.629
21.198000,34.3829,15.735
21.199000,34.5257,15.841
21.200000,34.6685,15.946
21.201000,34.8051,16.050
21.202000,34.9352,16.152
21.203000,35.0654,16.253
21.204000,35.1955,16.355
21.205000,35.3257,16.457
21.206000,35.4558,16.558
21.207000,35.5860,16.660
21.208000,35.7161,16.762
21.209000,35.8463,16.864
21.210000,35.9764,16.965
21.211000,36.0992,17.065
21.212000,36.2182,17.163
21.213000,36.3372,17.261
21.214000,36.4562,17.360
21.215000,36.5752,17.458
