time,train_id,phase,act,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
0.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,80.0,1.6,1099.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.8,現在は加速開始直後で速度は制限の1/50、勾配平坦・遅延なし。安全リスク低く、エネルギー効率と加速性能を重視すべき。乗客の快適性はまだ低加速段階で許容できるため、Confidenceは中程度に設定する。
30.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,72.72,705.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.6,制限速度を下回り平坦区間で惰行しているため安全リスクは低い。乗客の快適性を保ちつつエネルギー消費抑制の余地があるので、Confidenceを中程度、Competenceをやや高めに設定し、Survivalは最小にする。
60.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,80.0,75.53,102.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.5,現在は制限速度未満で減速フェーズの惰行中、速度超過リスクは低く安全重視は中程度。乗客快適性を保つためジャーク抑制を優先し、回生ブレーキでエネルギー回収の余地があるため効率も考慮する。
120.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,90.0,40.0,1330.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.4,0.6,現在は加速フェーズで速度は制限の半分以下、勾配平坦・遅延なしのため安全リスクは低く、乗り心地は加速の滑らかさを保ちつつエネルギー効率を重視すべき。したがってSurvivalは低め、Confidenceは中程度、Competenceはやや高めに設定する。
150.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,90.0,89.24,719.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.5,0.4,速度が制限値に接近し安全リスクは低いが超過防止が必要。遅延なしで快適走行を維持しつつ、エネルギー効率はやや重視。したがってSurvival0.6、Confidence0.5、Competence0.4とする。
180.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,90.0,63.64,47.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.8,0.5,現在速度は制限以下で平坦勾配、遅延なしの減速フェーズのため安全リスクは低い。乗客の快適性を保ちつつ、回生ブレーキでエネルギー回収を図る必要がある。したがってSurvivalは低め、Confidenceを高く、Competenceは中程度に設定する。
240.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,51.2,1786.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.7,0.5,加速フェーズで速度は制限の半分以下、勾配平坦のため安全リスクは低い。乗客快適性を重視し、Confidenceを最優先、Survivalは中程度、Competenceはやや高めに設定する。
270.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,97.96,1086.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.5,速度は制限内で遅延なし、平坦区間の巡航で安全リスク低。乗り心地を最大化すべきで、快適性を高く設定。省エネは惰行で既に最適だが、若干の効率重視で中程度に設定。
300.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,100.0,92.19,317.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.6,0.4,速度は制限内で遅延なし、減速フェーズのため安全リスクは低いが停止が必要。乗り心地と回生活用を重視し、Survivalを0.5、Confidenceを0.6、Competenceを0.4に設定。
360.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,14.4,2091.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.4,0.6,駅出発直後の加速フェーズで速度は制限の約15%に留まり安全リスクは低い。乗客の快適性を保ちつつエネルギー効率的な加速を促すため、Survivalは低め、Confidenceは中程度、Competenceはやや高く設定する。
