time,train_id,phase,act,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
0.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,1.6,1799.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在は駅発車直後の加速段階で速度は制限の1.6km/hと大幅に低く、安全リスクは最小。乗客の快適性は加速に伴うジャークを抑える程度に重視し、エネルギー効率は加速効率化を促すため中程度に設定する。
30.0,T1,制限速度接近フェーズ（500m以内に制限速度があり、かつ現在速度が制限速度を超えている）,ブレーキ（減速）中,100.0,83.2,1390.6,0.0,0.0,90m先に制限速度65.0km/hあり,この先目立った勾配なし,0.85,0.25,0.65,制限速度65km/hが90m先にあり減速中で安全が最重要。回生ブレーキでエネルギー回収を期待し、乗り心地は次点。
60.0,T1,巡航フェーズ（駅間走行中）,惰行中,65.0,58.16,884.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.5,現在は制限速度を下回り勾配も平坦で安全リスク低く、乗り心地を最優先すべき。エネルギーは回生機会が少ないが、無駄な加減速を抑えて効率を保ちたい。
90.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,100.0,98.2,336.1,0.0,0.0,436m先に制限速度95.0km/hあり,この先目立った勾配なし,0.85,0.3,0.6,速度が制限限界に近く、駅停車まで減速が必要で安全が最優先。回生ブレーキ活用で省エネも重要。乗り心地は次第に重視。
150.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,95.0,12.8,1792.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,駅出発直後の加速で速度は制限速度から十分離れており、遅延もなく勾配変化もないため安全リスクは極めて低い。乗客の快適性とエネルギー効率をバランスよく高めることが重要。したがってSurvivalは低め、ConfidenceとCompetenceを高める。
180.0,T1,巡航フェーズ（駅間走行中）,惰行中,95.0,87.7,1298.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.4,制限速度から十分離れ、勾配も平坦で安全リスク低く、惰行で乗り心地は安定。省エネは維持が重要だが回生余地少ない。したがって安全重視は低め、快適性をやや高め、エネルギー効率は維持重視で中程度に設定する。各列車の運転曲線を滑らかに保つため。
210.0,T1,巡航フェーズ（駅間走行中）,惰行中,95.0,84.32,572.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.5,現在は制限速度95km/hに対し84.3km/hと余裕があり、勾配平坦・遅延0秒で安全リスクは低い。乗客快適性を優先しつつ、エネルギー効率も適度に考慮する。
240.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,95.0,38.35,2246.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在は制限速度95km/hの約40%で、平坦区間を力行中。安全リスクは極めて低く、遅延もなし。乗客の快適性とエネルギー効率を高めるため、ConfidenceとCompetenceを高め、Survivalは低めに設定します。
300.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,73.6,1964.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,速度は制限の大幅下回りで平坦路、危険度低。快適性と省エネを重視し、安全性の重みを低く、快適性と効率性を高く設定する。
330.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,85.16,1208.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度100km/h以下の85.2km/hで平坦区間を惰行中、遅延0秒、前方制限なし。安全リスクは極めて低く、乗客の快適性を最大化すべき。一方省エネ効果も維持したい。
