time,train_id,phase,act,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
0.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,1.6,1999.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.5,0.8,現在は駅出発直後の加速段階で速度は制限の1.6km/hと十分に低く、安全リスクは最小。遅延なしで平坦区間のためエネルギー効率と加速性能を重視し、乗り心地は次第に向上させる程度で良い。
30.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,97.6,1586.6,0.0,0.0,この先制限速度なし,486m先に下り勾配10.0‰あり,0.85,0.15,0.6,現在速度は制限限界に近く、下り勾配で加速が続くと超過リスクが高い。安全を最優先しつつ、回生ブレーキ活用でエネルギー効率も重視し、乗り心地は次点とする。
60.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,97.44,814.4,0.0,-10.0,この先制限速度なし,この先目立った勾配なし,0.5,0.7,0.6,速度は制限限界付近だが下り勾配で加速リスクは低く、遅延なしで安定走行中。快適性を重視しつつ安全は中程度、エネルギー効率は適度に考慮し、Survivalは中、Confidence高、Competenceやや高とする。
90.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,100.0,70.33,68.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.7,0.3,0.6,速度は制限内で遅延なし、駅へ68.6mで減速中。安全リスクは低いが正確な停止と回生ブレーキ活用が重要。乗客快適性は急ブレーキで低下する可能性があるため、Confidenceは抑える。
150.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,75.0,46.4,1706.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,現在は加速フェーズで速度は制限の約62%で安全余裕が大きく、勾配も平坦。乗客快適性とエネルギー効率を重視し、Survivalは低めに設定する。
180.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,69.54,1156.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度75km/h以下の69.5km/hで平坦区間を惰行中、遅延0秒、前方に速度制限や勾配なし。安全リスクは低く、乗客の快適性とエネルギー効率を高めることが重要。
210.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,75.0,75.0,600.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.6,0.5,制限速度ちょうどで勾配・遅延なし、超過リスクは低いが加速は速さ超過につながる恐れ。Survivalは中程度、乗客快適性確保のためConfidenceをやや高く、エネルギー節約のためCompetenceも同程度に設定。
240.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,75.0,63.13,41.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.95,0.3,0.75,駅手前で加速状態にあり、残距離41mで停止が必要なため、速度超過や停車ミスのリスクが極めて高い。安全性を最優先しつつ、減速時に回生ブレーキでエネルギー回収を期待できるが、乗客の快適さも保ちたい。
300.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,95.0,48.0,2300.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.5,加速フェーズで速度は制限の半分以下、リスク低く安全は低重み。乗客快適性とエネルギー効率を重視し、Confidenceを高め、Competenceも中程度に設定。
330.0,T1,巡航フェーズ（駅間走行中）,惰行中,95.0,93.1,1634.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.8,0.5,現在は制限速度未満で惰行中、速度超過リスク低く安全重視は中程度。加減速がなく乗り心地が良好なので確信度を高く設定。省エネ効果は既に最大で余地少ないため効率性は中程度。
360.0,T1,巡航フェーズ（駅間走行中）,惰行中,95.0,89.45,906.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,巡航フェーズで速度は制限以下、遅延なし。快適性を最優先し省エネを適度に重視。
390.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,95.0,85.98,179.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.8,0.5,速度は制限95km/h未満で安全リスク低く、惰行中の減速フェーズ。乗客快適性を保つためジャーク抑制を重視し、エネルギー回生の余地はあるが緊急性は低い。Survival低め、Confidence高め、Competence中程度に設定。
450.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,33.6,2051.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在は駅出発直後の加速段階で速度は制限の30%程度、勾配平坦・遅延なし。安全リスクは低くSurvivalを低めに設定し、快適な加速とエネルギー効率を重視してConfidenceとCompetenceを高める。
480.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,88.25,1430.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.5,現在は制限速度100km/h未満で加速中、遅延0秒・勾配0‰・前方制限なしの平坦区間です。安全リスクは低く、乗り心地とエネルギー効率の向上が重要です。したがってSurvivalは低め、ConfidenceとCompetenceをバランス良く設定すべきです。
510.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,85.93,660.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.5,0.4,速度は制限以下で遅延なし、勾配平坦の巡航中で安全リスク低く、乗り心地とエネルギー効率をバランスさせる。
540.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,100.0,45.13,2169.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.4,0.7,速度は制限の半分以下で遅延もなく勾配も平坦なため安全リスクは低い。減速中の回生ブレーキでエネルギー回収が期待でき、効率を重視すべき。乗客の快適性も保ちつつ滑らかな減速が求められる。
600.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,64.0,1922.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.7,0.3,現在は加速フェーズで速度は制限の約2割下、勾配・遅延なし。安全リスクは低く快適性を重視しつつ、エネルギー効率も適度に考慮する。したがってSurvivalは中程度、Confidenceを高め、Competenceはやや低めに設定する。
