time,position,speed,action,source
0.0,21.112,0.0,1,DQN
1.0,21.112448,3.1655,1,DQN
2.0,21.113752,6.1663,1,DQN
3.0,21.115867,9.0104,1,DQN
4.0,21.118752,11.7057,1,DQN
5.0,21.122365,14.2597,1,DQN
6.0,21.126668,16.6796,1,DQN
7.0,21.131626,18.9721,1,DQN
8.0,21.137203,21.1437,1,DQN
9.0,21.143368,23.2007,1,DQN
10.0,21.150088,25.1488,1,DQN
11.0,21.157335,26.9937,1,DQN
12.0,21.16508,28.7408,1,DQN
13.0,21.173298,30.395,1,DQN
14.0,21.181963,31.9612,1,DQN
15.0,21.191043,33.3896,1,DQN
16.0,21.200509,34.7412,1,DQN
17.0,21.210341,36.0208,1,DQN
18.0,21.220518,37.2319,1,DQN
19.0,21.231028,38.4252,1,DQN
20.0,21.24186,39.5379,1,DQN
21.0,21.252991,40.5882,1,DQN
22.0,21.264406,41.5823,1,DQN
23.0,21.27609,42.5287,1,DQN
24.0,21.288035,43.4676,1,DQN
25.0,21.300242,44.4073,1,DQN
26.0,21.312707,45.3313,1,DQN
27.0,21.325427,46.2398,1,DQN
28.0,21.338397,47.1331,1,DQN
29.0,21.351613,48.0114,1,DQN
30.0,21.365071,48.8748,1,DQN
31.0,21.378767,49.7237,1,DQN
32.0,21.392696,50.5582,1,DQN
33.0,21.406856,51.3785,1,DQN
34.0,21.421241,52.1849,1,DQN
35.0,21.435848,52.9775,1,DQN
36.0,21.450674,53.7566,1,DQN
37.0,21.465714,54.5224,1,DQN
38.0,21.480965,55.275,0,DQN
39.0,21.496302,55.1545,0,DQN
40.0,21.511619,55.1559,0,DQN
41.0,21.526946,55.1977,0,DQN
42.0,21.542284,55.2394,0,DQN
43.0,21.557634,55.281,0,DQN
44.0,21.572996,55.3225,0,DQN
45.0,21.588369,55.3638,0,DQN
46.0,21.603754,55.405,0,DQN
47.0,21.61915,55.4461,0,DQN
48.0,21.634557,55.487,0,DQN
49.0,21.649976,55.5278,0,DQN
50.0,21.665374,55.3348,0,DQN
51.0,21.680717,55.1401,0,DQN
52.0,21.696007,54.946,0,DQN
53.0,21.711242,54.7525,0,DQN
54.0,21.726424,54.5597,0,DQN
55.0,21.741553,54.3674,0,DQN
56.0,21.756628,54.1758,0,DQN
57.0,21.77165,53.9848,0,DQN
58.0,21.786619,53.7943,0,DQN
59.0,21.801535,53.6045,0,DQN
60.0,21.816399,53.4153,0,DQN
61.0,21.83121,53.2266,0,DQN
62.0,21.845969,53.0385,0,DQN
63.0,21.860675,52.8511,0,DQN
64.0,21.87533,52.6642,0,DQN
65.0,21.889933,52.4779,0,DQN
66.0,21.904484,52.2921,0,DQN
67.0,21.918983,52.1069,0,DQN
68.0,21.933431,51.9223,0,DQN
69.0,21.947829,51.7383,0,DQN
70.0,21.962175,51.5548,0,DQN
71.0,21.97647,51.3719,0,DQN
72.0,21.990714,51.1895,0,DQN
73.0,22.004908,51.0077,0,DQN
74.0,22.019051,50.8264,0,DQN
75.0,22.033144,50.6457,0,DQN
76.0,22.047187,50.4655,0,DQN
77.0,22.06118,50.2859,0,DQN
78.0,22.075123,50.1068,0,DQN
79.0,22.089017,49.9282,0,DQN
80.0,22.102861,49.7502,0,DQN
81.0,22.116655,49.5726,0,DQN
82.0,22.130401,49.3957,0,DQN
83.0,22.144097,49.2192,1,DQN
84.0,22.157877,49.9888,1,DQN
85.0,22.171869,50.7453,1,DQN
86.0,22.18607,51.489,1,DQN
87.0,22.200475,52.22,1,DQN
88.0,22.215082,52.9386,1,DQN
89.0,22.229886,53.6449,1,DQN
90.0,22.244885,54.3391,1,DQN
91.0,22.260076,55.0214,1,DQN
92.0,22.275454,55.692,1,DQN
93.0,22.291016,56.3511,1,DQN
94.0,22.30675,56.8143,1,DQN
95.0,22.32256,57.0169,1,DQN
96.0,22.338426,57.2159,1,DQN
97.0,22.354347,57.4115,1,DQN
98.0,22.370321,57.6037,1,DQN
99.0,22.386349,57.7926,0,DQN
100.0,22.402312,57.1496,0,DQN
101.0,22.418097,56.5088,0,DQN
102.0,22.433704,55.87,0,DQN
103.0,22.449134,55.2332,0,DQN
104.0,22.464388,54.5985,0,DQN
