time,train_id,group_phase,group_notch,group_delay,group_hunting,current_speed,speed_limit,signal_speed,dist_to_next_station,time_to_next_station,delay,holding_time,prev_notch_duration,hunting_score,llm_reward,nn_output,abs_error,reason
560.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,27.01,70.0,70.0,49.8,19.8,0.0,9.8,17.9,0.0,0.0,1.0,1.0,ブレーキが停止位置より13.6m手前で開始され、|delta_stop|>5mのため停止位置達成が不可能であり、0点とする。
166.0,T2,巡航フェーズ（駅間走行中）,惰行中,遅延なし,ノコギリ疑いあり,58.28,70.0,62.1,446.8,69.1,0.0,5.8,0.6,0.0,1.0,0.0,1.0,全ての上位項目で安全かつ適切に走行しており、制限速度・CBTC遵守、停止位置も確保、ノコギリ運転なしで省エネ的にも最適と判断したため。
2329.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒以内,なし,8.91,70.0,70.0,11.6,0.0,9.5,17.4,61.2,0.0,1.0,0.0,1.0,次駅減速フェーズで適切にブレーキをかけ、停止位置は十分確保されており、速度超過やノコギリ運転等の問題がないため高評価。
2331.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,なし,3.73,70.0,70.0,8.1,0.0,11.5,19.4,61.2,0.0,0.0,1.0,1.0,delta_stopが7.15mでブレーキ中だが許容範囲を超えており、停止位置達成が不適切なためreward=0.0と判断。
2332.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,なし,1.15,70.0,70.0,7.4,0.0,12.5,20.4,61.2,0.0,0.0,1.0,1.0,ブレーキ中にdelta_stopが7.3mと5mを超えており、停止位置が大幅に早すぎるため即座にreward=0.0とした。
559.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,29.96,70.0,70.0,57.7,20.8,0.0,8.8,17.9,0.0,0.0,1.0,1.0,ブレーキ開始が早すぎてdelta_stopが13.45mとなり、必要以上の減速で遅延リスクが大きく評価を0.0とした。
558.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,32.91,70.0,70.0,66.4,21.8,0.0,7.8,17.9,0.0,0.0,1.0,1.0,ブレーキ中にdelta_stopが13.28mで|delta_stop|>5mとなり即reward0.0ルールに該当するため評価は0.0とした。
2539.6,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,13.8,0.0,38.8,0.0,19.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が13.8m離れ、1m以内でないため停止位置誤差が致命的と判断し、rewardを0.0とした。
173.49999999999957,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,3.996786427379455,70.0,70.0,88.56332815080847,6.500000000000426,0.0,0.2,0.1,0.96,1.0,0.0,1.0,次駅減速フェーズでdelta_stopが大きく加速が必要であり、速度・信号遵守かつ合理的な操作と判断し、全項目OKのためrewardを1.0とした。
352.2,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延なし,なし,0.0,80.0,80.0,0.8,4.8,0.0,0.0,20.9,0.0,1.0,0.0,1.0,駅停車完了で停止位置が0.8mと許容範囲内、速度・信号遵守、ノコギリ運転なしのため最高評価とした。
557.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,35.86,70.0,70.0,75.9,22.8,0.0,6.8,17.9,0.0,0.0,1.0,1.0,駅手前での早すぎるブレーキにより停車位置が大幅に手前になるため即reward0.0ルールが適用され、rewardは0.0となる。
556.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,38.83,70.0,70.0,86.3,23.8,0.0,5.8,17.9,0.0,0.0,1.0,1.0,ブレーキ開始が理想位置より12.95m早く、Δstopが5m超過しているため大幅減点とし、rewardを0.0とした。
555.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延なし,なし,41.8,70.0,70.0,97.5,24.8,0.0,4.8,17.9,0.0,0.0,1.0,1.0,ブレーキが必要距離前に開始され、delta_stopが12.79mと過剰減速となり停止位置誤差が大きく評価0.0とした。
165.69999999999916,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,0.3486750831450245,70.0,70.0,96.89880867329136,14.300000000000836,0.0,0.1,0.6,0.98,1.0,0.0,1.0,次駅減速フェーズで加速は必要であり、速度・CBTC制限を遵守し、停止位置の余裕も十分であるため評価は最高点とする。
174.7999999999995,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,7.310144917139447,70.0,70.0,86.51025241984556,5.2000000000005,0.0,1.5000000000000002,0.1,0.7,1.0,0.0,1.0,適切に加速しスケジュール通りに駅へ向かっており、速度・信号違反やノコギリ運転はなく高評価とした。
230.7999999999961,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,ノコギリ疑いあり,0.6775203184651503,70.0,70.0,3.766208696703188,0.0,50.89999999999608,0.1,0.1,0.98,1.0,0.0,1.0,次駅減速フェーズで適切にブレーキをかけ、速度・信号遵守・停止位置確保ができているため高評価とした。
