time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_bucket,rule_reason,llm_bucket,nn_bucket,llm_reward,nn_output,reason
116.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,48.487929427970016,70.0,70.0,392.432421383436,144.0843859639806,248.3480354194554,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.2,0.2,制限速度・CBTCは遵守していますが、次駅まで約392 mあるのにブレーキを15 秒間継続しているため、必要停止距離144 mに対し残距離が約248 mと大幅に余裕があり、駅手前での停止が過早です。停止位置の達成可能性が低く、エネルギー無駄となります。安全は保たれていますが操作は不適切です。
117.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,47.23645022114421,70.0,70.0,379.13919037140784,137.08136003335312,242.0578303380547,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.2,0.2,速度は制限・信号速度内で先行列車もなくCBTC違反はありませんが、次駅減速フェーズでブレーキを開始した時点で残距離は379.1m、必要停止距離は137.08mです。Δstopは約242mと大きく、ブレーキ開始が過早であるため「|Δstop| > 5m」の大幅減点対象となります。保持時間が10秒超えているためノコギリ運転は認められません。以上を踏まえ、現在のブレーキ操作は適切とは言えません。
120.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,43.50312369349001,70.0,70.0,341.3383782804651,117.224299419919,224.1140788605461,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.3,0.2,制限速度・CBTC信号は遵守していますが、次駅まで341mあるのにブレーキを19秒間継続し、必要ブレーキ距離117mに対し残距離224mの余裕が残っているため、駅手前で過度に減速し停車位置が大幅に早すぎます。エネルギー無駄と再加速の必要が生じ、効率面で不適切です。ノコギリ運転は条件を満たさずありません。
121.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,42.26546074471927,70.0,70.0,329.42787025300646,110.98313753816676,218.4447327148397,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.4,0.2,制限速度・CBTC信号は遵守しており安全性は確保されていますが、次駅まで約330mあり必要停止距離は約111mです。ブレーキを20秒間継続しているため停車位置が過早になる恐れがあり、エネルギー無駄が大きいです。直前の加速からの切替はノコギリ運転基準を満たさないものの、減速開始が早すぎる点で評価を下げます。
122.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,41.031060419046085,70.0,70.0,317.8606980692358,104.92795673370226,212.93274133553354,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.2,0.2,制限速度・CBTCは遵守していますが、次駅まで317.9mあるのにブレーキを21秒継続し、停止距離104.9mで駅手前約213mで止まる計算になるため、停止位置達成可能性が大きく欠けています。ノコギリ運転は条件を満たさずありませんが、早すぎる減速は効率を著しく低下させます。
123.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,39.79984762692121,70.0,70.0,306.6359659949676,99.05706162559734,207.57890436937026,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.2,0.2,制限速度・CBTCは遵守していますが、次駅まで306 mあるのにブレーキを22 秒継続し、必要ブレーキ距離99 mに対し残距離207 mと過度に早く減速しています。停止位置の達成可能性が低く、効率が著しく損なわれるため評価は低くなります。また、直前は1秒の力行からブレーキへ切り替わっており、保持時間が10秒未満でないためノコギリ運転とはみなされませんが、早すぎる減速は省エネ性を損ねます。
125.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,38.20963885236543,70.0,70.0,285.0892411788202,91.72359419389004,193.36564698493015,0.0,0.0,2000.0,high,ブレーキなし、delta_stop>=0m,mid,mid,0.2,0.2,制限速度・CBTCは遵守していますが、次駅減速フェーズで速度は既に必要平均速度を上回っており、加速（力行）を続けるのは不適切です。さらに、直前の惰行から1秒で力行へ切り替えており、保持時間が5秒未満のノコギリ運転が発生しています。安全は保たれるものの、停止位置の確保とエネルギー効率の観点で大きく評価を下げます。
126.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,39.07707190568781,70.0,70.0,274.35266626447685,95.68905045837414,178.6636158061027,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.1,0.1,速度は制限内で信号も遵守していますが、次駅まで274.4mあるのにブレーキを開始し、必要停止距離95.69mとの差は約179mと大きく、早すぎる減速で駅手前に停車するリスクがあります。さらに直前の力行から1秒でブレーキに切り替えたため、保持時間が5秒未満のノコギリ運転が発生し、大きく減点されます。安全は保たれていますが、停車位置と効率の観点で極めて不適切です。
127.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,37.85076904671767,70.0,70.0,263.6700173086588,90.10747570341938,173.56254160523946,0.0,0.0,2000.0,high,ブレーキなし、delta_stop>=0m,mid,mid,0.1,0.2,制限速度・CBTCは遵守していますが、次駅減速フェーズで加速（力行）を続けており、ブレーキ開始が遅れています。さらに直前のブレーキから1秒で逆転し、保持時間・前ノッチ時間ともに5秒未満のノコギリ運転が発生しているため、大きく評価を下げます。
128.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,38.7374138293775,70.0,70.0,253.0304093184128,94.12634996307416,158.90405935533863,0.0,0.0,2000.0,zero,ブレーキ中、|delta_stop|>5m,mid,mid,0.1,0.1,制限速度・信号速度は遵守しているが、次駅まで253mあるのにブレーキを開始し、必要停止距離94mに対し158m余分に減速しているため駅手前で停止するリスクが高い。さらに直前の力行から1秒でブレーキへ切り替え、保持時間が5秒未満のノコギリ運転が発生しており、快適性と省エネ性が著しく損なわれている。安全は保たれるものの、減速フェーズとしては不適切。
