time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
75.0,Train11,巡航フェーズ（駅間走行中）,惰行中,10.0,力行（加速）,6.0,70.0,70.0,59.87,70.0,1187.8,71.0,187.52,0.0,0.0,この先制限速度なし,197m先に上り勾配12.5‰あり,前方1001.0m先を40.4km/h,後続列車なし,60.0,77.0,未発車,60.0,59.3,0.0,-0.5
194.2999999999993,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.2,惰行,0.2,70.0,70.0,12.34,70.0,29.8,0.0,7.25,14.4,9.2,この先制限速度なし,この先目立った勾配なし,前方399.0m先を46.7km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
21.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,22.0,ブレーキ（減速）,30,70.0,70.0,40.59,70.0,2037.0,30.0,89.75,0.0,-2.1,この先制限速度なし,247m先に下り勾配6.7‰あり,前方445.6m先を62.8km/h,後続列車なし,90.0,161.0,未発車,30.0,51.0,0.0,-0.5
166.59999999999974,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7999999999999999,力行（加速）,0.1,70.0,0.0,31.87,31.9,47.8,11.4,48.04,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方48.2m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,12.0,29.6,-0.05
164.29999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,6.399999999999999,ブレーキ（減速）,6.0,70.0,70.0,30.83,35.1,96.3,15.7,44.96,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方1140.1m先を60.6km/h,後続列車なし,0.0,0.0,発車済み,120.0,35.1,0.0,-0.05
112.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,惰行,1.0,70.0,70.0,50.22,70.0,783.5,41.0,132.77,0.0,0.0,この先制限速度なし,193m先に上り勾配6.1‰あり,前方669.0m先を32.8km/h,後続列車なし,90.0,70.0,未発車,30.0,41.4,0.0,-0.5
152.9999999999992,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.5000000000000018,惰行,0.2,70.0,0.0,5.67,0.0,0.0,25.0,1.72,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方0.0m先を0.0km/h,後続列車なし,90.0,29.0,未発車,30.0,0.0,0.0,-0.05
122.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,4.0,70.0,70.0,53.05,55.6,685.8,56.0,147.9,0.0,0.0,この先制限速度なし,95m先に上り勾配6.1‰あり,前方686.1m先を0.0km/h,後続列車なし,60.0,30.0,未発車,60.0,55.6,0.0,-0.5
117.0,Train11,巡航フェーズ（駅間走行中）,惰行中,5.0,力行（加速）,6.0,70.0,70.0,43.68,44.1,620.9,63.0,100.82,0.0,0.0,この先制限速度なし,30m先に上り勾配6.1‰あり,前方654.4m先を21.7km/h,後続列車なし,0.0,0.0,発車済み,120.0,44.1,0.0,-0.5
89.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,6.0,惰行,6.0,70.0,70.0,42.07,52.3,934.0,89.0,80.17,0.0,12.5,この先制限速度なし,この先目立った勾配なし,前方934.4m先を0.0km/h,後続列車なし,30.0,33.0,未発車,90.0,52.3,0.0,-0.5
178.99999999999915,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.699999999999999,惰行,0.1,70.0,70.0,4.88,70.0,3.4,1.0,1.14,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方1303.8m先を63.4km/h,後続列車なし,0.0,0.0,発車済み,120.0,70.0,0.0,-0.05
