time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,mode,reward,reason
32.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,5.0,惰行,1.0,70.0,53.2,44.01,70.0,1915.9,12.0,105.31125584784503,0.0,-2.1,この先制限速度なし,125m先に下り勾配6.7‰あり,前方203.1m先を60.3km/h,後続列車なし,10.0,169.0,未発車,22.0,45.8,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モードと判定し、現在速度44km/hはtarget_speed_no_stop45.8km/h未満で加速中。上限超過やノコギリ運転はなく安全・適切と判断した。
67.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,8.0,70.0,70.0,43.62,70.0,1572.5,26.0,100.55894362515234,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方699.6m先を62.9km/h,後続列車なし,10.0,121.0,未発車,35.0,54.4,anti_mid_stop,0.3,先行が塞いで駅間停車防止モード。現在速度がtarget_speed_no_stop 54.4km/hを10km/h以上下回り過度な惰行となり減点し、rewardは0.3とする。
37.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,力行（加速）,22.0,70.0,70.0,42.29,70.0,1882.8,18.0,97.33621164147092,0.0,-2.1,この先制限速度なし,92m先に下り勾配6.7‰あり,前方361.6m先を63.5km/h,後続列車なし,10.0,173.0,未発車,28.0,44.2,anti_mid_stop,0.8,先行列車が塞いでいるため駅間停車防止モード。現在速度はtarget_speed_no_stop(44.2km/h)付近で許容範囲内のため高評価とし、0.8点とする。
138.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,9.0,惰行,6.0,70.0,70.0,40.0,70.0,952.0,29.0,72.53176407006154,0.0,12.5,この先制限速度なし,この先目立った勾配なし,前方929.4m先を14.6km/h,後続列車なし,10.0,72.0,未発車,28.0,66.9,anti_mid_stop,0.9,先行列車が塞いでいるため駅間停車防止モード。target_speed_no_stop以下で加速しており、上限超過やノコギリ運転はなく安全かつ適切な操作。
199.59999999999968,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.1,70.0,30.5,29.37,70.0,43.3,0.0,40.83668964110423,19.7,9.2,この先制限速度なし,この先目立った勾配なし,前方94.0m先を25.6km/h,後続列車なし,10.0,0.0,発車済み,35.0,70.0,normal,0.9,ブレーキが適切に掛かり、delta_stopが2.46mで許容範囲内、速度もCBTC信号内に収まっているため高評価。
65.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,26.0,70.0,70.0,45.74,70.0,1603.8,18.0,110.43815833239162,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方573.8m先を63.3km/h,後続列車なし,10.0,145.0,未発車,28.0,49.2,anti_mid_stop,0.9,先行列車が塞いでいる駅間停車防止モードで、現在速度がtarget_speed_no_stop未満で加速中。制限速度・CBTC遵守、ノコギリ運転なしで適切な操作と判断。
143.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,6.0,惰行,3.0,70.0,70.0,41.05,70.0,670.0,23.0,89.18437621913456,0.0,0.0,この先制限速度なし,80m先に上り勾配6.1‰あり,前方643.3m先を15.8km/h,後続列車なし,10.0,58.0,未発車,22.0,40.9,anti_mid_stop,0.2,先行列車が塞ぎ駅間停車防止モードで、速度はtarget_speed_no_stop付近だが、惰行→減速の短時間切替が合理的理由なくノコギリ運転と判定され、reward上限0.3に抑えた。
84.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,6.0,70.0,70.0,47.76,70.0,1565.3,29.0,120.2661798756526,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方988.4m先を61.5km/h,後続列車なし,10.0,119.0,未発車,35.0,55.2,anti_mid_stop,0.9,先行列車が塞いで駅間停車防止モード。target_speed_no_stop以下で加速中であり、上限超過やノコギリ運転はなく安全・適切と判断し高評価。
200.5999999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.699999999999998,力行（加速）,4.0,70.0,25.0,26.87,70.0,79.3,0.0,34.213649844411655,22.7,9.2,この先制限速度なし,この先目立った勾配なし,前方79.7m先を0.0km/h,後続列車なし,10.0,2.4,未発車,35.0,23.1,anti_mid_stop,0.9,先行列車が停車しているため駅間停車防止モード。現在速度はtarget_speed_no_stop上限以内でブレーキしCBTC信号を遵守、操作は適切。
116.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,6.0,力行（加速）,2.0,70.0,70.0,19.15,70.0,1160.5,22.0,19.601901036040395,0.0,0.0,この先制限速度なし,170m先に上り勾配12.5‰あり,前方886.5m先を49.1km/h,後続列車なし,10.0,100.0,未発車,22.0,46.5,anti_mid_stop,0.2,駅間停車防止モードでtarget_speed_no_stop(46.5km/h)を大きく下回るブレーキと、短時間の力行→減速というノコギリ運転が判定され、上限0.3点に抑えられたため0.2とした。
