source_file,time,run_id,section,position_km,phase,current_notch,holding_time,prev_notch,prev_notch_duration,notch_jump,current_speed,atc_now,signal_speed,v_ceiling,v_target,band_upper,band_lower,band_notch_pair,hold_notch,v_std,v_std_deviation,schedule_speed,required_speed,target_speed_no_stop,target_speed_spacing,dist_to_next_station,time_to_next_station,req_stop_dist,delta_stop,current_gradient,coast_accel,power_accel,next_gradient_info,limit_drop_ahead,delay,total_delay,stations_remaining,total_remaining_time,forward_info,forward_train_delay,forward_departed_next,standard_headway,forward_clear_remaining_time,forward_observed_delay,backward_info,backward_distance,backward_speed,backward_delay,is_dwelling,dwell_elapsed,dwell_min,dwell_max,mode,reward,reason,checks
tozai_normal_bad.csv,0.0,early_coast_s0_a,0,0.0,駅出発直後の加速フェーズ（20秒以内）,力行,0.0,なし（または停止）,0.0,0.0,0.0,45.0,45.0,45.0,0.0,39.8,34.5,惰行 ↔ 勾配ブレーキ,惰行,0.0,0.0,45.0,45.0,45.0,,964.5,80.0,0.0,964.5,-5.0,0.103,3.476,80m先で勾配が-5.0‰から-14.2‰に変わる,前方に現示の低下なし,0.0,0.0,1,80.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,delay_recovery,0.5,下り勾配で力行は不要で、遅延回復モードの帯維持には惰行が適切なのに力行を使用しているため減点。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""NG(下り勾配で力行は不要)"", ""phase"": ""NG(遅延回復帯外で不適切な力行使用)"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""NG(不要な力行でエネルギー浪費)""}"
tozai_normal_bad.csv,32.0,over_power_s0,0,0.431282,巡航フェーズ（駅間走行中）,惰行,7.2,力行,24.8,1.73,76.58,75.0,75.0,75.0,56.6,72.0,68.7,惰行 ↔ 勾配ブレーキ,惰行,56.6,20.0,50.2,75.0,75.0,,533.2,48.0,356.02,177.19,-16.3,0.255,1.981,280m先で勾配が-16.3‰から+2.0‰に変わる,前方に現示の低下なし,0.0,0.0,1,48.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.2,下り勾配で惰行は速度を減速できずv_ceilingを超過、帯外で速度過大。勾配ブレーキが必要で巡航基準から外れたため低評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""NG(惰行で加速不可)"", ""phase"": ""NG(速度過大)"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""NG(エネルギー浪費)""}"
tozai_normal_bad.csv,16.0,early_coast_s1_b,1,1.077761,駅出発直後の加速フェーズ（20秒以内）,力行,16.0,なし（または停止）,0.0,0.0,49.53,75.0,75.0,75.0,49.5,71.3,65.5,勾配力行 ↔ 惰行,惰行,49.5,-0.0,58.8,59.0,59.0,,944.7,69.0,125.33,819.41,2.0,-0.272,2.453,150m先で勾配が+2.0‰から+3.5‰に変わる,594m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,69.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,加速フェーズで目標速度に達しているのに力行を継続しエネルギー浪費が若干あるが、ATC遵守・安全・間隔問題なしで高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""対象外"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_bad.csv,71.0,sawtooth_s0_3s,0,0.957812,次駅への減速フェーズ（駅手前400m以内）,制動,26.5,力行,0.0,5.87,11.63,75.0,75.0,75.0,11.4,70.2,64.4,勾配力行 ↔ 惰行,惰行,11.4,0.2,75.0,75.0,75.0,,6.7,9.0,7.07,-0.38,2.0,-0.164,3.21,当面+2.0‰が続く,714m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,9.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,delay_recovery,1.0,駅手前で適切に制動し、delta_stop が1m以内で停止位置が確保され、ATC 超過なし、勾配対応も正しく、ノコギリ運転は発生していない。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_bad.csv,52.0,crawl_s1_30,1,1.353198,現示低下点への接近フェーズ（500m以内に現示の低下あり）,惰行,0.0,力行,0.0,3.37,29.52,75.0,75.0,75.0,73.1,70.4,65.7,勾配力行 ↔ 惰行,勾配力行,73.1,-43.6,75.0,75.0,75.0,,669.3,33.0,36.02,633.28,4.0,-0.277,3.097,10m先で勾配が+4.0‰から+27.0‰に変わる,319m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,33.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,delay_recovery,0.3,現示低下点接近で速度が大幅に不足し、加速すべき場面で惰行に留まっているため評価が低く、0.3点とした。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""対象外"", ""gradient"": ""OK"", ""phase"": ""NG(惰行で加速不足)"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""NG(遅延リスク大)""}"
tozai_normal_bad.csv,76.0,useless_brake_s1,1,1.949955,次駅への減速フェーズ（駅手前400m以内）,制動,7.8,力行,0.0,5.87,37.84,70.0,70.0,70.0,37.8,65.3,59.7,勾配力行 ↔ 惰行,惰行,37.8,0.0,70.0,70.0,70.0,,72.5,9.0,72.81,-0.26,3.0,-0.266,3.107,当面+3.0‰が続く,412m先でATC現示が70km/hから55km/hに低下する,0.0,0.0,1,9.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,delay_recovery,0.9,制動を継続し適切に減速、delta_stop が-0.26 mで停止位置は確保、ATC超過なし、勾配は減速に適合し、ノコギリ運転なしで評価が高い。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_bad.csv,87.5,sawtooth_s1_2s,1,2.022594,次駅への減速フェーズ（駅手前400m以内）,制動,22.6,力行,0.9,5.87,0.81,70.0,70.0,70.0,1.5,65.2,60.5,勾配力行 ↔ 惰行,惰行,1.5,-0.7,70.0,0.0,0.0,,-0.1,0.0,0.03,-0.13,3.0,-0.181,3.193,当面+3.0‰が続く,339m先でATC現示が70km/hから55km/hに低下する,2.5,2.5,1,0.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,delay_recovery,1.0,駅手前で低速かつ制動中に停止位置が±0.13mで適正、ATC遵守、勾配対応も正しく、遅延回復モードでの評価基準を満たすため高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,41.0,std_s0,0,0.490885,巡航フェーズ（駅間走行中）,惰行,26.8,力行,14.2,2.34,57.7,75.0,75.0,75.0,57.9,71.0,67.7,惰行 ↔ 勾配ブレーキ,惰行,57.9,-0.2,62.8,63.7,63.7,,473.6,39.0,220.07,253.55,-16.3,0.342,2.681,220m先で勾配が-16.3‰から+2.0‰に変わる,前方に現示の低下なし,0.0,0.0,1,39.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.8,急勾配下りで惰行は減速できず、速度上昇が予想されるため勾配ブレーキへの切替が必要であり、適切でない操作と判断した。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""NG(下り勾配で惰行)"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,15.0,std_s0_v-1.0,0,0.106985,駅出発直後の加速フェーズ（20秒以内）,惰行,1.1,力行,13.9,2.83,47.76,70.0,70.0,70.0,48.9,65.3,61.6,惰行 ↔ 勾配ブレーキ,惰行,48.9,-1.1,56.9,57.8,57.8,,857.5,65.0,150.95,706.56,-14.2,0.307,3.132,65m先で勾配が-14.2‰から-16.3‰に変わる,前方に現示の低下なし,0.0,0.0,1,65.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.8,駅出発直後に目標速度未達のまま惰行に切り替えたため、加速が遅くなり加速フェーズでの最適操作から外れた。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""NG(加速フェーズで不必要な惰行)"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
tozai_normal_good.csv,58.0,std_s0_v+2.0,0,0.793879,次駅への減速フェーズ（駅手前400m以内）,制動,1.5,惰行,41.7,2.5,58.03,75.0,75.0,75.0,58.0,72.0,66.1,勾配力行 ↔ 惰行,惰行,58.0,0.0,50.4,75.0,75.0,,170.6,22.0,170.85,-0.23,2.0,-0.305,2.02,当面+2.0‰が続く,878m先でATC現示が75km/hから70km/hに低下する,0.0,0.0,1,22.0,先行列車なし,0,,0,0,0,後続列車なし,該当なし,該当なし,0,0,0,30,240,normal,0.9,制動で適切に減速し、Δstop が許容範囲内かつ速度・信号遵守、勾配でも減速可能であり、ノコギリ運転なしで定時・省エネも維持されているため高評価。,"{""immediate_zero_rule"": ""OK"", ""atc"": ""OK"", ""stop_position"": ""OK"", ""gradient"": ""OK"", ""phase"": ""OK"", ""sawtooth"": ""OK"", ""train_interval"": ""対象外"", ""punctuality_energy"": ""OK""}"
