time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,35.0,50.0,10.3,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-15.04mでオーバーランが確実であり、即時0点規則に該当するため。
1,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,70.0,50.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,Delta_stop が -15.04m でオーバーランが確実なため即時0点ルールが適用され、reward は 0.0 とする。
2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,35.0,50.0,10.3,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-15.04mでオーバーランが確実となり、即時0点ルールに該当するためrewardは0.0とした。
3,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,70.0,50.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-15.04mでオーバーランが確実なため即時0点ルールが適用され、rewardは0.0とした。
4,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,35.0,50.0,10.3,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-15.04mでオーバーラン確実、即0.0ルールに該当し、現在ブレーキ中でも駅手前に過走リスクがあるため安全違反と判断した。
5,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,70.0,50.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-15.04mでオーバーランがほぼ確実と判断され、即reward0.0ルールが適用されたため。
6,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,35.0,53.0,10.9,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-12.04mでオーバーランが確実であり、即時0点ルールに該当するためrewardは0.0とした。
7,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,70.0,53.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-12.04mでオーバーランが確実なため即0.0ルールが適用され、rewardは0.0とした。
8,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,35.0,53.0,10.9,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-12.04mでオーバーランが確実となり、即時0点ルールが適用されたためrewardは0.0。
9,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,70.0,53.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,δ_stopが-12.04mでオーバーランが確実であり、即時0点ルールに該当するためrewardは0.0。
10,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,35.0,53.0,10.9,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-12.04mでオーバーランが確実となり即時0点ルールに該当するためrewardは0.0とした。
11,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,70.0,53.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-12.04mでオーバーランが確実なため即0.0ルールが適用され、現在のブレーキでも停止距離が足りず、rewardは0.0とした。
12,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,35.0,56.0,11.5,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stop が -9.04 m でオーバーランがほぼ確実なため、即時0点ルールが適用され reward=0.0 とした。
13,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,15.0,70.0,70.0,35.0,70.0,56.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-9.04mでオーバーランが確実なため即時0点ルールが適用され、安全上重大な違反と判断した。
14,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,35.0,56.0,11.5,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,ブレーキ中にdelta_stopが-9.04mで、必要停止距離を大幅に下回りオーバーランが確実と判断されたため即時0点とした。
15,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.0,惰行,15.0,70.0,70.0,35.0,70.0,56.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-9.04mでオーバーランが確実なため即0点ルールが適用され、rewardは0.0とした。
16,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,35.0,56.0,11.5,65.03584000886715,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,ブレーキ中にdelta_stopが-9.04mでオーバーランがほぼ確実となり、即reward0.0ルールが適用されるため0.0とした。
17,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,15.0,70.0,70.0,35.0,70.0,56.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,delta_stopが-9.04mでブレーキ中にも関わらずオーバーランが確実と判断され、即0.0ルールが適用されたため。
